Sample ID,Chip ID,ROI,Parent,X,Y,CD8_Cell_Mean,CD88_Cell_Mean,CD4_Cell_Mean,SIRPa_Cell_Mean,CD56_Cell_Mean,HLA-DR_Cell_Mean,CD11c_Cell_Mean,PD-1_Cell_Mean,CD3_Cell_Mean,CD45_Cell_Mean,CD10_Cell_Mean,CD31_Cell_Mean,CAIX_Cell_Mean,CD20_Cell_Mean,IRF8_Cell_Mean,CD68_Cell_Mean,CAIX_Status,CD3_Status,CD4_Status,CD8_Status,CD10_Status,CD11c_Status,CD20_Status,CD31_Status,CD45_Status,CD56_Status,CD68_Status,CD88_Status,HLA-DR_Status,IRF8_Status,PD-1_Status,SIRPa_Status,Cell_Type
AU94845,M872808,Position 14,Stroma,454.25,30.15,0.0,3569.5,1.9681,3008.9468,2189.0603,69.2216,0.0,0.0,0.0,0.0,0.0,0.0,623.6879,0.0,1338.1772,16130.2744,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,522.92,29.29,0.0,131.7994,18.8408,133.0366,11.0748,0.0,0.0,0.0,2845.0986,0.0,0.0,64.2006,34.7229,0.0,128.5255,195.5987,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,438.09,30.31,0.0,5582.4082,682.9432,1751.9241,526.2533,1328.6809,150.8896,5.0405,12242.3457,0.0,0.0,0.0,1843.9371,0.0,348.921,5868.6089,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,406.3,30.04,0.0,1990.4857,1.5279,391.9073,13604.4316,428.843,3.7302,0.0,0.0,0.0,0.0,1404.3424,1367.3646,0.0,184.0242,598.804,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,388.98,29.76,0.0,627.7234,0.0,103.9928,0.0,2.8569,0.0,0.0,25.7146,0.0,0.0,18105.873,1794.5707,0.0,0.0,1421.1005,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,637.5,30.2,0.0,1604.0414,246.5806,414.3338,193.8588,1583.3267,14.796,249.1255,41.4451,3.4037,0.0,81.5963,1078.709,0.0,37.8374,230.0471,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,446.51,29.56,0.0,2330.8445,1.2592,213.121,0.2873,601.2462,0.0,0.0,0.0,0.0,0.0,0.0,1495.514,0.0,3252.9092,12250.5312,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,619.97,30.89,0.0,309.5693,0.0,5532.0864,716.901,73.0215,18.9266,3633.8408,0.0,0.0,0.0,8762.2529,1694.8407,0.0,38.099,242.6733,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,472.78,30.37,0.0,2673.5825,11.4959,471.5251,24.0994,0.0,4.3304,10.5602,54.3766,1.0427,7.7842,20631.4688,403.5298,0.0,169.8094,928.169,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,609.13,31.3,0.0,0.0,0.0,0.0,0.0,0.3061,1.3163,41.2079,12.9031,0.0,0.0,8741.2158,249.3673,0.0,72.537,102.8278,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,599.97,32.45,1768.3505,2142.7742,14.8778,873.0221,146.2631,3117.6565,0.0,256.7125,808.95,322.1432,1717.4052,7035.1313,2332.8777,0.0,68.6333,382.3923,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,584.94,31.55,0.0,10717.7168,350.8202,5994.7676,143.839,721.6723,3.1798,1916.7551,32.8154,172.6761,616.4426,9842.3516,1411.7551,0.0,728.8917,7924.3618,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,NULL
AU94845,M872808,Position 14,Stroma,536.2,33.23,0.0,188.8907,73.1368,288.9419,36.0256,283.8012,1.7776,100.247,23.122,165.7096,28.9065,1971.9891,1118.5591,0.0,63.8278,1561.7195,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,662.11,32.12,1194.7742,167.918,3.5124,0.0,0.0,0.0,379.657,0.0,55.3934,27.5993,103.7171,0.0,2147.1001,0.0,8.0959,3465.7493,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,479.22,36.06,0.0,3.5082,67.1295,197.8295,0.0,0.4016,0.0,100.5689,0.0,0.477,0.0,42249.0664,540.1771,0.0,190.1705,296.5754,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,593.19,36.27,0.0,12334.5508,1463.3871,13564.0371,0.0,11088.4814,64.9132,13488.3027,0.0,195.4119,0.0,29496.8887,3133.4021,0.0,196.8313,18795.7871,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,525.52,36.56,0.0,910.0497,7120.6533,157.5298,191.606,197.7715,368.8013,93.4227,29650.5195,5511.2969,662.0994,0.0,3852.8123,0.0,32.8201,3594.873,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,583.57,36.64,0.0,5.8256,16.1333,18.5333,0.0,5.4897,0.1231,0.0,0.0,0.0,0.0,20526.5254,898.9821,0.0,4.5846,600.8666,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,389.41,39.03,0.0,19.1837,5.2329,2.8966,0.0,264.9493,0.0,0.0,0.5947,66.7354,0.0,42084.0898,3863.8965,0.0,40.8381,257.3068,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,402.56,38.19,0.0,6261.4673,727.9103,1906.8243,36242.707,13301.8057,9.6336,0.0,0.0,4261.8989,0.0,1913.2766,2974.7795,0.0,127.4542,9781.1143,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,571.71,38.29,0.0,0.0,3.7557,0.0,0.0,0.0,2.6858,0.0,0.0,0.0,0.0,31932.8809,1441.85,0.0,23.384,17.2557,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,437.0,39.87,0.0,8543.8291,7806.3872,7248.4829,497.9407,31014.8594,53.6492,4057.3318,5984.8691,19837.8145,0.0,1.8923,2025.1544,0.0,828.5714,6209.8813,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,608.84,40.18,0.0,614.4069,317.6729,1252.1796,42.0359,344.3378,35.2407,1442.4388,1.766,5067.1528,30.0625,43259.3086,681.7633,0.0,176.0492,352.5705,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,551.89,40.64,0.0,1078.7037,132.5514,59.6781,0.0,1981.7054,0.0,14.2055,0.0,3494.6028,800.387,7368.9023,1428.6781,0.0,45.2277,436.5993,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,558.64,41.4,0.0,259.4047,54.7133,0.0607,0.0,2758.6189,0.0,63.5093,0.0,1825.6138,17.7875,19809.8691,1280.0405,0.0,87.457,267.4469,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,587.51,42.56,0.0,1.0467,0.8505,0.0,0.0,10.0576,0.8536,0.0,0.0,0.0,0.0,33453.3125,1259.6979,0.0,16.9626,168.9891,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,473.97,43.12,131.5717,1105.2308,124.6366,793.3877,31.0897,4044.4785,29.3821,263.8617,187.5632,949.645,87.5265,27780.3613,1389.785,0.0,105.2415,326.4204,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,658.05,42.69,6117.207,8.8475,11.4015,0.0,5.4967,0.0,1599.9778,0.0,2828.0261,1952.4175,204.0133,0.0,755.0818,24.518,0.0,1851.6941,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,598.18,42.29,201.835,37.3962,11.3367,33.8878,0.0,25.8889,13.1504,0.0,397.3041,1763.2111,0.0,7814.6475,3114.3794,0.0,113.7318,467.0786,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,634.92,44.1,0.0,8625.8418,2411.3052,5205.7471,6757.5786,2283.9072,21.5464,3884.3789,0.0,27428.6309,407.0854,1572.207,1913.1719,16.5144,516.8848,6852.7515,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,544.14,43.97,0.0,1911.3167,313.517,908.6064,0.0,11022.1875,6.7513,298.814,0.0,10248.1787,254.2665,2.0662,3991.9231,0.0,203.7245,15515.7012,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,428.88,45.84,0.0,1524.3052,14147.4326,2304.4814,1908.7518,23056.5684,86.0443,1591.9866,13961.209,28803.6016,0.0,1149.1865,1543.015,0.0,139.5684,675.2198,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,580.37,46.41,0.0,1.5266,0.0,4.9513,0.0,40.3941,7.2174,0.0,0.598,1.6365,18.1835,31036.0273,5355.9312,0.0,50.5289,121.0883,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,407.86,46.62,0.0,2581.729,910.7117,9214.6543,3228.7024,8346.1543,7.176,4950.0454,50.1736,7400.5342,0.0,5742.2505,3783.491,0.0,49.1493,7295.5034,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,462.73,47.12,18958.4688,6425.4585,3512.396,6020.1338,540.4061,16795.2109,546.9936,7030.1631,16771.5312,24054.8203,671.4501,132.3061,197.1677,0.0,18.8158,589.1164,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,450.86,48.84,1618.16,2255.5959,11240.4883,868.4442,190.653,9543.4365,313.3839,720.3416,22447.2676,29748.5977,4.5326,40.6284,597.4195,0.0,43.1614,3369.1223,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,645.64,50.64,0.0,1386.8959,348.988,1592.686,2721.9304,54.7842,40.329,1516.6696,3.2829,4568.1909,407.3115,86.8983,3421.5823,0.0,26.4712,7073.0581,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,619.86,50.95,0.0,420.6441,54.6199,29.2875,1259.3312,1127.3462,141.5991,84.3201,13.8051,1587.6956,1002.8135,0.7132,9527.291,0.0,74.663,5008.9224,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,440.1,51.27,0.0,4311.3125,2653.2698,82.8281,59.9704,11082.0205,0.0,15.8189,908.0018,6492.1333,0.0,6.5342,3913.7356,0.0,88.464,614.4769,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,401.79,51.9,0.0,71.1067,0.326,9.5614,0.8099,0.0,33.1528,0.0,2.0373,11.8955,0.0,34769.1562,1469.1923,0.0,64.348,268.5833,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,658.76,52.71,10.9229,13.862,8.4956,0.0,0.0,16.3458,8.9993,0.0,0.0,84.116,41.2673,0.0,2116.9531,2.0646,33.0463,1254.0682,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,600.76,53.58,0.0,1729.5956,5381.0386,12.7366,9.8238,10510.8008,78.2869,3.2517,21952.9336,18975.9375,3075.3557,747.9984,2907.3994,0.0,45.0856,7953.2783,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,669.44,53.91,0.8003,35.0953,2.7919,0.0,0.0,2.0678,3.7241,0.0,4.314,0.0,127.5335,0.0,302.7073,0.0,0.0,1919.3735,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,427.73,54.96,0.0,47.9755,60.4687,0.0,137.9768,14.7452,81.6853,1.3065,18.5763,215.7275,0.0,51268.6914,2944.1826,0.0,49.4142,706.2589,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells
AU94845,M872808,Position 14,Stroma,591.24,57.08,0.0,1091.1715,48.1963,57.1486,10.2965,377.5589,161.9561,0.0,560.4921,1201.9784,3778.2126,997.6957,8425.6338,4.9274,45.9706,9015.6494,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,476.84,57.51,2044.8536,9803.5684,6636.0269,9502.377,93.6684,20696.7207,1084.0829,8114.3423,10594.7617,26430.1797,681.4608,5264.041,1472.8872,0.0,2785.0933,8726.7197,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,NULL
AU94845,M872808,Position 14,Stroma,534.14,57.44,0.0,34.9598,3.9897,0.0,0.0,3.7979,0.0,0.0,0.0,0.0,1306.2285,0.0,8157.6167,0.0,0.0,2589.0986,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,580.74,57.36,0.0,101.2399,31.8323,0.0,0.0,22.3892,112.8507,0.0,16.9474,39.2938,4184.9863,129.5838,7701.1162,0.0,2.8752,5129.3857,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,547.81,57.39,26.0676,55.624,48.731,0.0,0.6713,17.0072,60.2434,0.7493,7.8169,0.0,2166.0603,0.0,9608.835,0.0,9.874,7357.0195,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,522.7,60.41,0.0,17.3476,4.2629,0.0,0.0,56.3521,0.0,0.0,0.0,0.0,75.049,0.0,1773.1774,0.0,0.0,367.4786,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,488.79,60.08,0.0,3281.8779,7631.3774,2287.6274,337.2216,7888.6997,3.2622,1828.8025,14438.7539,21290.6152,728.5087,548.4456,1968.2971,0.0,26.4282,4657.5347,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,434.6,60.63,0.0,894.2047,553.6306,82.4218,18.8103,2563.5667,0.0,0.0,0.0316,1379.1115,0.0,1832.1855,909.5391,0.0,36.3403,3085.5574,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,554.44,61.17,0.0,134.3819,0.0,0.0,0.0,132.0853,1.6448,0.0,0.0,0.0,2515.8223,0.0,4540.5239,0.0,0.0,1428.8953,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,648.37,62.01,6.9791,21.6736,0.0,0.0,0.0,0.0,6.8412,0.0,0.0,33.9912,158.846,0.0,297.9094,0.0,0.0,891.2775,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,461.52,60.59,6661.7197,2585.9153,3439.8535,440.7852,2.6454,8955.3008,10194.4795,364.2297,13041.459,23457.082,15.8304,0.0,606.0385,0.0,87.4203,620.5298,Negative,Positive,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,613.71,62.76,16.9118,70.9088,41.8317,80.5752,3228.2866,310.344,35.9871,183.0857,956.1196,3394.1584,1706.6067,0.0,3285.5481,0.0,9.1658,3957.4199,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,418.85,62.21,0.0,1523.7772,4403.8008,291.6702,50.9129,3960.865,91.5818,7.9372,18132.125,16929.5488,77.0131,1635.906,462.1282,0.0,69.5109,2697.0623,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,572.71,63.89,0.0,94.1814,37.8495,0.0,0.0,80.0433,23.4082,0.0,0.0,2.5052,1134.6969,0.0,4310.6846,0.0,0.0,3200.1052,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,442.39,64.06,0.0,6658.9253,763.8348,1371.4277,139.6109,6661.8467,19.3918,2.8977,123.1168,5502.0913,38.7782,458.4872,1857.5549,0.0,118.5729,3544.4636,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Negative,Monocytes
AU94845,M872808,Position 14,Stroma,469.83,65.05,798.9381,30243.0938,343.6378,1698.0619,1158.6672,5431.9507,1659.079,258.678,1270.8809,3924.3916,0.0,15.805,307.4381,12.7941,0.0,989.5062,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Negative,Monocytes
AU94845,M872808,Position 14,Stroma,452.27,67.2,0.0,7993.0747,2085.1682,1753.3511,195.2925,13300.8291,87.5042,70.112,2039.0579,15090.2334,3.8462,261.5446,667.7723,0.0,1888.8203,6233.9785,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,541.51,67.2,15.7119,6.7055,8.5477,0.0,9.0456,7.7426,91.9375,0.0,57.3771,54.8538,339.0678,0.0,10365.6885,0.0,3.8729,3404.948,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
AU94845,M872808,Position 14,Stroma,488.22,68.59,0.0,2869.4072,552.955,508.3501,459.3189,9144.3574,0.0,251.9844,795.071,7598.3984,1512.104,1836.7712,3862.7488,0.0,126.0849,4067.9983,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Positive,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,397.62,69.54,0.0,48.3174,1.7206,84.9663,29.2243,283.4822,16.837,91.2776,0.0,7739.4761,0.0,22809.0586,2293.0491,1.489,78.6636,160.8627,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,NULL
AU94845,M872808,Position 14,Stroma,577.54,69.97,0.0,194.3162,2.2964,0.0,0.0,82.4216,10.2675,0.0,0.0,2.9776,1076.6982,0.0,5386.0527,0.0,0.0,2579.8247,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells
