Sample ID,Chip ID,ROI,Parent,X,Y,CD8_Cell_Mean,CD88_Cell_Mean,CD4_Cell_Mean,SIRPa_Cell_Mean,CD56_Cell_Mean,HLA-DR_Cell_Mean,CD11c_Cell_Mean,PD-1_Cell_Mean,CD3_Cell_Mean,CD45_Cell_Mean,CD10_Cell_Mean,CD31_Cell_Mean,CAIX_Cell_Mean,CD20_Cell_Mean,IRF8_Cell_Mean,CD68_Cell_Mean,CAIX_Status,CD3_Status,CD4_Status,CD8_Status,CD10_Status,CD11c_Status,CD20_Status,CD31_Status,CD45_Status,CD56_Status,CD68_Status,CD88_Status,HLA-DR_Status,IRF8_Status,PD-1_Status,SIRPa_Status,Cell_Type,CAIX_AutoThreStatus,CD3_AutoThreStatus,CD4_AutoThreStatus,CD8_AutoThreStatus,CD10_AutoThreStatus,CD11c_AutoThreStatus,CD20_AutoThreStatus,CD31_AutoThreStatus,CD45_AutoThreStatus,CD56_AutoThreStatus,CD68_AutoThreStatus,CD88_AutoThreStatus,HLA-DR_AutoThreStatus,IRF8_AutoThreStatus,PD-1_AutoThreStatus,SIRPa_AutoThreStatus,AutoThre_Cell_Type,Cluster.id
AU94844,M1771243,Position 28,Stroma,513.84,102.67,344.1906,236.5573,456.8849,196.9143,1264.5448,8.7321,402.7372,56.405,426.7484,5804.6958,82.8567,0.0,1231.48,278.3254,52.9876,47.4162,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,453.85,102.77,0.0,4891.8438,0.0,2926.6692,0.0,0.0,455.4258,804.3723,12.3287,3243.0,12.3188,0.0,90.6257,29.9941,36.697,22.3168,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,459.97,108.82,5071.4546,660.6897,0.0,176.2808,112.1181,0.0,493.1055,0.0,0.0459,5925.9448,156.1784,0.0,2474.4673,869.9284,2.4271,13.2268,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,425.67,115.65,18.4671,531.4819,0.0,502.1146,5.5813,25.4284,26.2629,272.1722,0.0,3036.9663,0.0,0.0,731.5558,104.8523,0.0,0.0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,489.81,117.45,19308.0371,0.0,0.0,252.663,85.1845,27.1075,149.8961,38.5497,1311.724,4165.061,0.0,0.0,239.2622,3.4401,4.0908,37.1184,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,517.29,124.32,12350.7158,9949.2139,720.9882,10714.0957,252.3698,82.5916,124.8672,7460.937,142.1437,17804.5566,33.6933,0.0,2217.2478,229.9714,118.2655,15739.9883,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Positive,Positive,,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,354.43,131.15,0.0,289.9399,22.8164,773.642,0.0,9.3718,99.8799,93.6617,0.0,0.0,24.0693,2744.4851,374.5,0.6697,50.0346,44.5577,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,421.49,137.96,4.2757,295.1481,1.5399,397.7678,29.496,1.1224,558.3985,221.7235,28.3333,20.0912,26.981,0.0,1234.6394,216.5968,92.1813,396.1793,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD10+
AU94844,M1771243,Position 28,Stroma,329.24,138.23,0.0,87.5534,0.0,100.1303,0.0,62.123,25.2592,0.0,0.0,0.0,15.2694,6104.7026,471.8799,0.0,61.7379,20.5827,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,445.45,138.07,21550.043,4471.2441,1056.5487,7210.8687,413.6291,678.8345,841.0198,5952.27,3849.7322,7856.2363,0.5513,33.6087,685.793,60.162,74.1205,1739.4852,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Negative,,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Negative,,CD8 T cells
AU94844,M1771243,Position 28,Stroma,345.19,138.37,0.0,74.0323,0.0,262.8545,0.0,0.0,167.4978,139.69,0.0,303.5957,0.4933,17000.4707,553.3396,0.0,28.4196,104.0341,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,
AU94844,M1771243,Position 28,Stroma,459.67,149.02,98.6644,22.5045,247.8341,0.4652,0.0,0.0,118.0598,0.0,0.0,0.0,12.1114,16225.3398,403.5386,19.2917,47.2568,65.1492,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,
AU94844,M1771243,Position 28,Stroma,596.43,152.87,0.0,109.4954,13.6349,9.3376,0.0,0.0,59.5321,0.0,0.0,0.0,3.0385,10867.1172,753.2275,42.8752,145.5266,4.1468,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,
AU94844,M1771243,Position 28,Stroma,487.8,153.89,0.0,7090.4644,1772.6107,18658.0469,73.6038,9639.123,618.397,12518.0107,45.9308,6008.9541,285.5796,0.0,4202.0166,646.7292,5591.7559,910.1661,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,579.34,154.59,0.0,7.9068,0.0,0.3694,103.9201,9.4942,174.6905,0.0,0.0,0.0,47.3145,1819.5042,1332.8552,1.3727,0.0,26.7604,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,528.47,155.36,0.0,9665.3213,188.3916,23393.5527,149.3453,112.7395,264.083,15484.002,0.0,2365.3838,3.9091,0.0,4005.541,1438.3828,242.1792,592.2806,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Positive,,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,650.43,156.6,1049.6353,16.7928,5154.8579,0.0,15.5465,2.1017,516.5633,0.0,3267.6643,8655.5977,30.871,0.0,581.4014,353.5019,0.0,3.1967,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,CD4 T cells,Negative,Positive,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD4 T cells
AU94844,M1771243,Position 28,Stroma,456.76,159.13,41.281,7472.6646,318.3728,1339.9081,0.0,0.0,29.7563,445.2809,0.0,6107.4023,39.0866,2620.3782,1324.4701,43.8256,11.731,438.0719,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,581.17,161.38,0.0,12.929,0.0,0.0,0.0,0.0,112.0991,0.0,0.0,37.7757,0.0,4687.6431,3481.4075,24.0879,79.286,165.6617,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Tumour cells,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,597.76,160.88,0.0,2.642,11.0046,4.2263,0.0,0.0,44.5497,0.0,0.0,0.0,13.0693,3603.6443,2220.1641,456.8037,45.8383,0.0,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,592.16,163.44,0.0,0.0,22.1738,0.0,0.0,0.0,99.8627,0.0,0.0,0.0,48.985,6494.2168,659.9506,31.3991,7.4163,49.8498,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Endothelial cells,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,341.46,165.69,0.0,181.5984,0.0,147.6995,670.1234,167.1234,512.3517,0.0,0.0,2011.8044,277.8661,0.0,1036.311,13.6772,17.311,67.3753,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,CD10+
AU94844,M1771243,Position 28,Stroma,441.74,166.88,76.6796,8196.3711,81.4353,1261.8132,0.0,0.0,0.3448,255.6652,25.9713,5875.9512,0.0,215.6149,353.7989,0.0,59.2227,71.2989,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,353.75,168.96,0.0,21091.1543,1613.7758,48325.8438,85.5125,2243.9392,185.1854,30359.1641,0.0,11428.4766,0.0,0.0,110.0576,0.0,1537.6791,7862.6636,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,430.63,172.09,15.6634,1050.9855,3.1863,119.4615,59.4589,0.6738,43.9776,5.5245,26.8959,2332.8704,24.9324,1155.5984,263.4266,0.0,9.3241,6.1415,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,499.22,175.37,0.0,475.2881,787.6307,249.9331,0.0,100.8696,210.2587,58.3474,434.9836,3420.4082,0.0642,0.0,476.9392,289.015,0.0,102.9454,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,
AU94844,M1771243,Position 28,Stroma,484.5,176.09,10.325,18248.4727,811.6678,16909.2227,0.0,1594.6451,902.4612,8102.1113,42.1756,7265.6104,227.2879,0.0,8214.8682,2954.6606,157.8339,2866.0298,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Positive,,Positive,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Positive,,Mono/Macs/cDC2s
AU94844,M1771243,Position 28,Stroma,348.34,178.89,207.196,2476.5259,1143.3666,3519.5422,122.8622,313.2111,288.5714,1903.7257,2.1517,2329.3628,53.6953,0.0,1177.8761,88.7977,337.9406,1655.2579,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Negative,,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,,Mono/Macs/cDC2s
